nomor,kode,nama,kelompok,tipe,Air (Water),Energi (Energy),Protein (Protein),Lemak (Fat),Karbohidrat (CHO),Abu (ASH),Kalsium (Ca),Fosfor (P),Besi (Fe),Natrium (Na),Kalium (K),Tembaga (Cu),Seng (Zn),Riboflavin (Vit. B2),Niasin (Niacin),Serat (Fibre),Retinol (Vit. A),Beta-Karoten (Carotenes),Karoten Total (Re),Thiamin (Vit. B1),Vitamin C (Vit. C)
366,GP012,"Ikan Gabus, kering (Asian snakehead, fish, dried)",Ikan/Kerang/Udang dll,Olahan (Processed),24.0 g,268 Kal,58.0 g,4.0 g,0.0 g,14.0 g,15 mg,100 mg,0.1 mg,,,,,,,0.0 g,30 mcg,,,0.10 mg,0 mg
367,GR025,"Ikan gabus, segar (Asian snakehead, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),79.6 g,80 Kal,16.2 g,0.5 g,2.6 g,1.1 g,170 mg,139 mg,0.1 mg,65 mg,254.0 mg,0.30 mg,0.4 mg,0.20 mg,0.1 mg,0.0 g,335 mcg,,,0.40 mg,
368,GP013,"Ikan gete, goreng",Ikan/Kerang/Udang dll,Olahan (Processed),44.7 g,267 Kal,23.1 g,19.4 g,0.2 g,12.6 g,"2,340 mg","1,240 mg",0.8 mg,590 mg,440.0 mg,0.10 mg,1.9 mg,,0.2 mg,,,,,,
369,GR026,"Ikan heu, segar",Ikan/Kerang/Udang dll,Mentah (Raw),75.6 g,81 Kal,10.0 g,1.6 g,6.6 g,6.2 g,"1,910 mg",990 mg,2.1 mg,240 mg,210.0 mg,0.10 mg,2.7 mg,,0.2 mg,,,,,0.87 mg,
370,GR027,"Ikan hitam, segar (Black Sharkminnow, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),78.2 g,101 Kal,10.3 g,3.7 g,6.7 g,1.1 g,50 mg,140 mg,0.4 mg,70 mg,210.0 mg,,0.4 mg,0.10 mg,0.1 mg,0.0 g,67 mcg,,,0.00 mg,
371,GP014,"Ikan hiu, kering (Shark, fish, dried)",Ikan/Kerang/Udang dll,Olahan (Processed),23.1 g,298 Kal,46.3 g,3.6 g,20.2 g,6.8 g,335 mg,846 mg,2.5 mg,957 mg,"1,457.0 mg",0.50 mg,2.0 mg,0.11 mg,22.5 mg,,661 mcg,,,0.84 mg,
372,GR028,"Ikan hiu, segar (Fish, shark, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),85.7 g,57 Kal,10.7 g,0.3 g,2.2 g,1.1 g,75 mg,206 mg,2.0 mg,,,0.02 mg,,,,0.0 g,,,0 mcg,0.05 mg,0 mg
373,GR029,"Ikan kacangan, segar",Ikan/Kerang/Udang dll,Mentah (Raw),80.7 g,77 Kal,15.6 g,0.9 g,1.6 g,1.2 g,94 mg,170 mg,1.7 mg,,,,,,,0.0 g,18 mcg,,0 mcg,0.07 mg,0 mg
374,GR030,"Ikan kakap, segar",Ikan/Kerang/Udang dll,Mentah (Raw),77.0 g,92 Kal,20.0 g,0.7 g,0.0 g,2.3 g,20 mg,200 mg,1.0 mg,,,,,,,0.0 g,9 mcg,,,0.05 mg,0 mg
375,GR031,"Ikan kakatua, segar",Ikan/Kerang/Udang dll,Mentah (Raw),79.7 g,82 Kal,11.4 g,1.2 g,6.4 g,1.3 g,20 mg,160 mg,0.4 mg,90 mg,300.0 mg,0.10 mg,0.3 mg,,0.2 mg,,18 mcg,,,,
376,GR032,"Ikan kalaban, segar (Minnows, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),80.3 g,77 Kal,16.4 g,0.7 g,1.3 g,1.3 g,182 mg,248 mg,0.9 mg,40 mg,334.0 mg,0.70 mg,0.8 mg,0.15 mg,1.9 mg,0.0 g,,,,0.16 mg,
377,GR033,"Ikan kamera (kakap merah), segar",Ikan/Kerang/Udang dll,Mentah (Raw),78.5 g,86 Kal,19.7 g,0.8 g,0.0 g,1.3 g,50 mg,170 mg,0.3 mg,90 mg,290.0 mg,0.30 mg,0.1 mg,0.08 mg,0.1 mg,0.0 g,26 mcg,,,,
378,GR034,"Ikan kapar, segar (Malay Combtail, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),74.2 g,132 Kal,17.0 g,6.7 g,0.8 g,1.3 g,151 mg,272 mg,1.2 mg,78 mg,229.0 mg,0.90 mg,0.7 mg,0.03 mg,,0.0 g,,,,0.07 mg,
379,GP015,"Ikan katombo, asin (Pargy, fish, salted)",Ikan/Kerang/Udang dll,Olahan (Processed),44.7 g,162 Kal,31.7 g,2.8 g,0.3 g,15.5 g,279 mg,609 mg,4.6 mg,"4,393 mg",342.2 mg,2.80 mg,,,,0.0 g,0 mcg,,0 mcg,0.09 mg,0 mg
380,GR035,"Ikan kawalinya, segar (Indian mackerel, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),76.1 g,110 Kal,12.6 g,4.2 g,5.4 g,1.7 g,80 mg,300 mg,1.5 mg,340 mg,300.0 mg,0.20 mg,1.4 mg,,0.2 mg,,146 mcg,,,,
381,GP016,"Ikan kayu, kering",Ikan/Kerang/Udang dll,Olahan (Processed),23.1 g,302 Kal,70.7 g,1.9 g,0.4 g,3.9 g,313 mg,22 mg,4.1 mg,345 mg,"1,045.0 mg",,1.8 mg,0.04 mg,20.0 mg,0.0 g,,,,1.40 mg,
382,GR036,"Ikan keru-keru, segar (Puffers, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),77.2 g,93 Kal,16.5 g,2.1 g,0.8 g,3.4 g,65 mg,217 mg,2.4 mg,137 mg,255.3 mg,0.34 mg,0.7 mg,0.09 mg,1.6 mg,0.0 g,0 mcg,,0 mcg,0.01 mg,0 mg
383,GR037,"Ikan kima, segar (Clam, shell, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),82.1 g,70 Kal,10.8 g,0.7 g,5.2 g,1.2 g,53 mg,72 mg,2.0 mg,342 mg,101.0 mg,0.50 mg,0.5 mg,0.05 mg,5.8 mg,,401 mcg,,,0.22 mg,
384,GP017,Ikan Lais bakar,Ikan/Kerang/Udang dll,Olahan (Processed),69.4 g,147 Kal,17.5 g,6.5 g,5.4 g,1.2 g,54 mg,194 mg,0.1 mg,142 mg,209.0 mg,,0.5 mg,,,,,,,,
385,GR038,"Ikan lais, segar (Sheatfish, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),65.0 g,161 Kal,11.9 g,11.5 g,2.4 g,9.2 g,70 mg,237 mg,0.0 mg,,,,,,,0.0 g,0 mcg,,0 mcg,0.05 mg,0 mg
386,GR039,"Ikan layang, segar (Indian scad, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),74.0 g,109 Kal,22.0 g,1.7 g,0.0 g,2.3 g,50 mg,150 mg,2.0 mg,,,,,,,0.0 g,45 mcg,0 mcg,,0.05 mg,0 mg
387,GR040,"Ikan layur, segar (Hairtail, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),80.1 g,82 Kal,18.0 g,1.0 g,0.4 g,0.5 g,48 mg,229 mg,2.2 mg,,,,,,,0.0 g,4 mcg,,0 mcg,0.04 mg,0 mg
388,GR041,"Ikan lehoma, segar (Indian mackerel, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),77.6 g,90 Kal,20.4 g,0.9 g,0.0 g,1.1 g,88 mg,270 mg,0.7 mg,56 mg,281.0 mg,0.30 mg,0.9 mg,0.03 mg,0.2 mg,,"1,047 mcg",,,0.32 mg,
389,GR042,"Ikan lemuru, segar (Bali sardinella, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),76.0 g,112 Kal,20.0 g,3.0 g,0.0 g,1.0 g,20 mg,100 mg,1.0 mg,,,,,,,0.0 g,30 mcg,0 mcg,,0.05 mg,0 mg
390,GR043,"Ikan lidah, segar (Flatfishes, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),78.3 g,104 Kal,15.6 g,3.2 g,2.0 g,0.9 g,30 mg,143 mg,2.0 mg,,,,,,,0.0 g,33 mcg,,0 mcg,0.03 mg,0 mg
391,GP018,"Ikan lomak asin, mentah",Ikan/Kerang/Udang dll,Olahan (Processed),21.6 g,258 Kal,40.3 g,2.3 g,18.9 g,16.9 g,140 mg,279 mg,2.3 mg,"6,227 mg",485.1 mg,2.30 mg,,0.30 mg,6.0 mg,0.0 g,,,,0.10 mg,
392,GR044,"Ikan malalugis, segar",Ikan/Kerang/Udang dll,Mentah (Raw),75.6 g,99 Kal,20.6 g,1.4 g,0.9 g,1.5 g,164 mg,330 mg,0.5 mg,76 mg,282.0 mg,0.20 mg,0.9 mg,0.02 mg,0.5 mg,,661 mcg,,,0.30 mg,
393,GR045,"Ikan mamar merah, segar",Ikan/Kerang/Udang dll,Mentah (Raw),75.0 g,115 Kal,15.3 g,4.0 g,4.4 g,1.3 g,60 mg,190 mg,1.6 mg,120 mg,240.0 mg,0.20 mg,1.0 mg,0.10 mg,0.1 mg,0.0 g,,,,0.20 mg,
394,GP019,Ikan Mas pepes,Ikan/Kerang/Udang dll,Olahan (Processed),57.5 g,209 Kal,15.2 g,11.3 g,11.8 g,4.3 g,686 mg,530 mg,6.1 mg,74 mg,276.7 mg,0.10 mg,1.9 mg,0.10 mg,2.4 mg,0.5 g,3 mcg,,315 mcg,0.13 mg,0 mg
395,GR046,"Ikan mas, segar (Common carp, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),80.0 g,86 Kal,16.0 g,2.0 g,0.0 g,2.0 g,20 mg,150 mg,2.0 mg,65 mg,276.7 mg,0.10 mg,1.1 mg,0.10 mg,2.6 mg,0.0 g,45 mcg,8 mcg,,0.05 mg,0 mg
396,GR047,"Ikan mayong, segar",Ikan/Kerang/Udang dll,Mentah (Raw),78.2 g,97 Kal,17.9 g,2.0 g,0.4 g,1.5 g,40 mg,100 mg,2.5 mg,,,,,,,0.0 g,21 mcg,,0 mcg,0.10 mg,0 mg
397,GP020,Ikan mujahir goreng,Ikan/Kerang/Udang dll,Olahan (Processed),44.7 g,416 Kal,46.9 g,23.9 g,0.0 g,2.2 g,346 mg,654 mg,0.9 mg,54 mg,278.9 mg,0.00 mg,0.2 mg,0.10 mg,2.2 mg,0.0 g,12 mcg,3 mcg,8 mcg,0.12 mg,0 mg
398,GP021,Ikan Mujahir pepes,Ikan/Kerang/Udang dll,Olahan (Processed),73.7 g,121 Kal,21.7 g,2.8 g,0.8 g,1.0 g,83 mg,248 mg,1.6 mg,58 mg,265.8 mg,0.00 mg,0.3 mg,0.10 mg,1.9 mg,0.0 g,8 mcg,,6 mcg,0.00 mg,0 mg
399,GP022,"Ikan mujahir, dendeng, mentah",Ikan/Kerang/Udang dll,Olahan (Processed),15.2 g,582 Kal,68.3 g,15.2 g,37.2 g,14.1 g,"3,258 mg","1,699 mg",4.3 mg,,,,,,,0.0 g,15 mcg,,20 mcg,0.27 mg,0 mg
400,GR048,"Ikan mujahir, segar (Mozambique tilapia, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),79.7 g,89 Kal,18.7 g,1.0 g,0.0 g,1.1 g,96 mg,209 mg,1.5 mg,51 mg,265.8 mg,0.00 mg,0.2 mg,0.10 mg,2.0 mg,0.0 g,6 mcg,3 mcg,5 mcg,0.03 mg,0 mg
401,GR049,"Ikan nasu metti, segar",Ikan/Kerang/Udang dll,Mentah (Raw),65.3 g,154 Kal,16.8 g,5.0 g,10.5 g,2.4 g,80 mg,244 mg,1.6 mg,421 mg,488.0 mg,0.20 mg,1.2 mg,0.15 mg,9.6 mg,,,,,0.47 mg,
402,GR050,"Ikan oci, kembung, segar (Indian mackerels, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),71.4 g,125 Kal,21.3 g,3.4 g,2.2 g,1.7 g,136 mg,69 mg,0.8 mg,214 mg,245.0 mg,0.20 mg,1.1 mg,0.03 mg,0.2 mg,,,,,0.26 mg,
403,GR051,"Ikan paling, segar",Ikan/Kerang/Udang dll,Mentah (Raw),58.0 g,303 Kal,14.0 g,27.0 g,0.0 g,1.0 g,20 mg,200 mg,1.0 mg,43 mg,,,,,,0.0 g,485 mcg,0 mcg,,0.10 mg,2 mg
404,GP023,"Ikan Papuyu, bakar",Ikan/Kerang/Udang dll,Olahan (Processed),66.6 g,152 Kal,17.6 g,6.1 g,6.7 g,3.0 g,244 mg,227 mg,3.4 mg,320 mg,224.0 mg,0.20 mg,1.0 mg,,,0.0 g,,,,,
405,GR052,"Ikan papuyu/ betok, segar (Climbing perch, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),75.0 g,120 Kal,14.3 g,4.9 g,4.6 g,1.2 g,329 mg,436 mg,1.5 mg,240 mg,169.0 mg,0.80 mg,1.1 mg,0.05 mg,3.1 mg,0.0 g,,0 mcg,,0.00 mg,
406,GP024,"Ikan Patin, bakar",Ikan/Kerang/Udang dll,Olahan (Processed),70.3 g,144 Kal,17.5 g,6.3 g,4.3 g,1.6 g,191 mg,232 mg,1.4 mg,379 mg,230.0 mg,0.10 mg,0.7 mg,,,,,,,,
407,GR053,"Ikan patin, segar (Striped catfish, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),74.4 g,132 Kal,17.0 g,6.6 g,1.1 g,0.9 g,31 mg,173 mg,1.6 mg,77 mg,346.0 mg,0.70 mg,0.8 mg,0.03 mg,1.7 mg,0.0 g,,7 mcg,,0.20 mg,
408,GP025,"Ikan peda banjar, mentah",Ikan/Kerang/Udang dll,Olahan (Processed),46.0 g,156 Kal,28.0 g,4.0 g,2.0 g,20.0 g,174 mg,316 mg,3.1 mg,59 mg,368.8 mg,0.00 mg,0.5 mg,0.10 mg,4.7 mg,0.0 g,33 mcg,4 mcg,,0.10 mg,
409,GP026,"Ikan pepetek, mentah (Ponyfish, fresh)",Ikan/Kerang/Udang dll,Olahan (Processed),33.0 g,176 Kal,32.0 g,4.4 g,2.0 g,28.6 g,120 mg,200 mg,1.0 mg,79 mg,1.0 mg,,,0.10 mg,2.4 mg,0.0 g,15 mcg,,,0.05 mg,0 mg
410,GP027,"Ikan Pindang banjar, mentah",Ikan/Kerang/Udang dll,Olahan (Processed),59.0 g,157 Kal,28.0 g,4.2 g,1.8 g,7.0 g,50 mg,100 mg,1.0 mg,,,,,,,0.0 g,45 mcg,,,0.10 mg,0 mg
411,GP028,"Ikan Pindang benggol, mentah",Ikan/Kerang/Udang dll,Olahan (Processed),57.0 g,170 Kal,31.0 g,4.2 g,0.0 g,7.8 g,50 mg,100 mg,1.0 mg,,,,,,,0.0 g,45 mcg,,,0.10 mg,0 mg
412,GP029,"Ikan Pindang layang, mentah",Ikan/Kerang/Udang dll,Olahan (Processed),60.0 g,153 Kal,30.0 g,2.8 g,0.0 g,7.2 g,60 mg,200 mg,3.0 mg,,,,,,,0.0 g,61 mcg,,,0.07 mg,0 mg
413,GP030,"Ikan Pindang selar, mentah",Ikan/Kerang/Udang dll,Olahan (Processed),60.0 g,142 Kal,27.0 g,3.0 g,0.0 g,10.0 g,60 mg,200 mg,3.0 mg,,,,,,,0.0 g,61 mcg,,,0.07 mg,0 mg
414,GR054,"Ikan pomo, segar",Ikan/Kerang/Udang dll,Mentah (Raw),68.3 g,147 Kal,22.5 g,5.2 g,2.6 g,1.4 g,80 mg,230 mg,1.3 mg,,380.0 mg,0.20 mg,0.7 mg,,,,89 mcg,,,,
415,GR055,"Ikan puntin, segar (Bagrdi catfish, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),81.1 g,76 Kal,14.4 g,1.1 g,2.2 g,1.2 g,28 mg,166 mg,0.0 mg,,325.0 mg,0.10 mg,0.6 mg,0.11 mg,,,,,,0.31 mg,
416,GP032,"Ikan sale lais, mentah (Sheatfish)",Ikan/Kerang/Udang dll,Olahan (Processed),12.4 g,415 Kal,61.3 g,17.6 g,2.9 g,5.8 g,258 mg,919 mg,7.0 mg,381 mg,488.0 mg,17.60 mg,1.0 mg,0.10 mg,17.3 mg,0.0 g,0 mcg,,0 mcg,0.03 mg,0 mg
417,GP031,"Ikan sale, mentah",Ikan/Kerang/Udang dll,Olahan (Processed),8.5 g,534 Kal,40.2 g,39.3 g,4.9 g,7.1 g,199 mg,"1,244 mg",2.7 mg,673 mg,673.0 mg,0.30 mg,2.6 mg,0.50 mg,0.0 mg,2.0 g,,410 mcg,0 mcg,0.02 mg,0 mg
418,GP033,"Ikan saluang, kering, mentah (Rasborafish)",Ikan/Kerang/Udang dll,Olahan (Processed),33.6 g,284 Kal,34.1 g,9.9 g,14.6 g,7.8 g,"1,426 mg","1,103 mg",9.5 mg,"1,767 mg",263.0 mg,1.30 mg,18.7 mg,0.03 mg,,0.0 g,,,,0.49 mg,
419,GR056,"Ikan saluang, segar (Rasboras fish, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),74.8 g,113 Kal,13.9 g,4.9 g,3.4 g,3.0 g,642 mg,646 mg,1.9 mg,51 mg,182.0 mg,0.80 mg,3.6 mg,0.02 mg,1.8 mg,0.0 g,,,,0.21 mg,
420,GP034,"Ikan sanggang, masakan",Ikan/Kerang/Udang dll,Olahan (Processed),42.6 g,240 Kal,21.7 g,7.7 g,20.7 g,7.3 g,159 mg,362 mg,9.8 mg,"2,041 mg",159.0 mg,1.50 mg,8.8 mg,0.02 mg,,,,,,0.51 mg,
421,GR057,"Ikan sarden, segar (Herrings, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),72.7 g,109 Kal,19.9 g,1.8 g,3.4 g,2.2 g,95 mg,597 mg,1.3 mg,266 mg,227.0 mg,0.30 mg,2.0 mg,0.03 mg,4.4 mg,0.0 g,195 mcg,0 mcg,,0.26 mg,
422,GP035,"Ikan selar kuning, cue, mentah (Black-banded trevally)",Ikan/Kerang/Udang dll,Olahan (Processed),59.0 g,138 Kal,27.0 g,3.3 g,0.0 g,0.7 g,50 mg,100 mg,2.0 mg,,,,,,,0.0 g,45 mcg,,,0.10 mg,0 mg
423,GP036,"Ikan selar, kering, mentah (Trevally yellow-banded)",Ikan/Kerang/Udang dll,Olahan (Processed),43.0 g,194 Kal,38.0 g,3.5 g,0.0 g,15.5 g,20 mg,200 mg,1.0 mg,,,,,,,0.0 g,0 mcg,0 mcg,,0.01 mg,0 mg
424,GR058,"Ikan selar, segar (Scadfish, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),75.4 g,100 Kal,18.8 g,2.2 g,0.0 g,3.6 g,40 mg,179 mg,0.5 mg,43 mg,392.6 mg,0.10 mg,0.3 mg,0.20 mg,3.4 mg,0.0 g,45 mcg,0 mcg,,0.37 mg,0 mg
425,GP037,"Ikan sepat, kering, mentah (Siamese gourami)",Ikan/Kerang/Udang dll,Olahan (Processed),30.0 g,289 Kal,38.0 g,14.0 g,0.0 g,18.0 g,40 mg,100 mg,0.7 mg,,,,,,,0.0 g,0 mcg,0 mcg,,0.00 mg,0 mg
426,GR059,"Ikan sepat, segar (Snakeskin gourami, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),78.8 g,84 Kal,15.2 g,0.6 g,4.7 g,0.8 g,68 mg,171 mg,2.1 mg,211 mg,198.0 mg,0.70 mg,0.6 mg,0.03 mg,1.9 mg,0.0 g,,0 mcg,,0.16 mg,
427,GR060,"Ikan sidat, segar (Shortfin Eel, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),71.3 g,81 Kal,11.4 g,1.9 g,3.8 g,11.6 g,118 mg,174 mg,3.0 mg,46 mg,245.9 mg,0.00 mg,1.5 mg,0.40 mg,3.2 mg,0.0 g,15 mcg,0 mcg,0 mcg,0.00 mg,0 mg
428,GP038,"Ikan sunu, asin, mentah (Coral trout)",Ikan/Kerang/Udang dll,Olahan (Processed),34.7 g,199 Kal,34.1 g,3.8 g,7.1 g,20.3 g,94 mg,92 mg,2.2 mg,377 mg,57.0 mg,0.10 mg,3.2 mg,0.13 mg,7.2 mg,,"2,481 mcg",,,1.50 mg,
429,GR061,"Ikan sunu, segar (Leopard coralgrouper, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),75.5 g,111 Kal,13.3 g,3.4 g,6.7 g,1.1 g,86 mg,174 mg,1.2 mg,91 mg,197.0 mg,0.00 mg,0.6 mg,0.10 mg,0.2 mg,,309 mcg,,,1.03 mg,
430,GR062,"Ikan tahuman, segar",Ikan/Kerang/Udang dll,Mentah (Raw),77.4 g,88 Kal,15.9 g,0.9 g,4.1 g,1.8 g,221 mg,223 mg,0.0 mg,24 mg,364.0 mg,0.40 mg,0.7 mg,0.25 mg,1.6 mg,0.0 g,,,,0.20 mg,
431,GR063,"Ikan tarmon, segar",Ikan/Kerang/Udang dll,Mentah (Raw),76.7 g,96 Kal,19.5 g,1.1 g,2.0 g,0.8 g,9 mg,129 mg,0.3 mg,43 mg,154.0 mg,0.10 mg,0.5 mg,0.02 mg,1.7 mg,0.0 g,,,,0.15 mg,
432,GR064,"Ikan telan, segar (spiny eel, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),75.3 g,95 Kal,15.8 g,0.7 g,6.5 g,1.7 g,503 mg,354 mg,0.2 mg,58 mg,294.0 mg,1.60 mg,1.2 mg,0.02 mg,1.9 mg,0.0 g,,,,0.18 mg,
433,GR065,"Ikan tembang, segar (Bonga shad, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),65.0 g,204 Kal,16.0 g,15.0 g,0.0 g,4.0 g,20 mg,200 mg,2.0 mg,341 mg,291.0 mg,0.40 mg,2.6 mg,0.00 mg,5.6 mg,0.0 g,30 mcg,0 mcg,,0.05 mg,0 mg
434,GR066,"Ikan tempahas, segar",Ikan/Kerang/Udang dll,Mentah (Raw),78.9 g,101 Kal,15.1 g,4.1 g,1.0 g,0.9 g,32 mg,163 mg,0.0 mg,50 mg,320.0 mg,0.70 mg,0.6 mg,0.05 mg,1.5 mg,0.0 g,,,,0.02 mg,
435,GR067,"Ikan terbang, segar (Flyingfishes, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),76.1 g,98 Kal,19.6 g,1.7 g,1.0 g,1.6 g,90 mg,190 mg,0.6 mg,90 mg,320.0 mg,0.10 mg,0.5 mg,0.10 mg,0.1 mg,0.0 g,39 mcg,0 mcg,,0.00 mg,
436,GP040,"Ikan Teri nasi, kering, mentah",Ikan/Kerang/Udang dll,Olahan (Processed),34.5 g,144 Kal,32.5 g,0.6 g,0.0 g,32.4 g,"1,000 mg","1,000 mg",3.0 mg,312 mg,,,,,,0.0 g,61 mcg,,,0.10 mg,0 mg
437,GP041,"Ikan Teri, bubuk, mentah",Ikan/Kerang/Udang dll,Olahan (Processed),15.0 g,277 Kal,60.0 g,2.3 g,1.8 g,20.9 g,"1,209 mg","1,225 mg",3.0 mg,,,,,,,0.0 g,90 mcg,,,0.10 mg,0 mg
438,GP042,"Ikan teri, kering, mentah (Anchovy)",Ikan/Kerang/Udang dll,Olahan (Processed),37.8 g,170 Kal,33.4 g,3.0 g,0.0 g,25.8 g,"1,200 mg","1,500 mg",3.6 mg,,,,,,,0.0 g,64 mcg,,,0.15 mg,0 mg
439,GP043,"Ikan Teri, kering, tawar, mentah",Ikan/Kerang/Udang dll,Olahan (Processed),16.7 g,331 Kal,68.7 g,4.2 g,0.0 g,10.4 g,"2,381 mg","1,500 mg",23.4 mg,,,,,,,0.0 g,61 mcg,,,0.10 mg,0 mg
440,GR068,"Ikan teri, segar (Anchovies, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),80.0 g,74 Kal,10.3 g,1.4 g,4.1 g,4.2 g,972 mg,253 mg,3.9 mg,554 mg,126.1 mg,305.20 mg,0.2 mg,0.10 mg,1.9 mg,0.0 g,13 mcg,0 mcg,28 mcg,0.24 mg,0 mg
441,GP044,"Ikan Teri, tepung, mentah",Ikan/Kerang/Udang dll,Olahan (Processed),5.2 g,347 Kal,48.8 g,6.4 g,19.6 g,20.0 g,"4,608 mg","1,200 mg",18.6 mg,,,,,,,0.0 g,61 mcg,0 mcg,130 mcg,1.12 mg,0 mg
442,GR069,"Ikan titang, segar (Spotted scat,fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),78.8 g,82 Kal,17.4 g,0.4 g,2.3 g,1.1 g,145 mg,130 mg,1.8 mg,110 mg,275.0 mg,0.10 mg,0.8 mg,0.03 mg,1.5 mg,0.0 g,581 mcg,,,0.64 mg,
443,GR070,"Ikan tongkol, segar (Tuna, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),74.7 g,100 Kal,13.7 g,1.5 g,8.0 g,2.1 g,92 mg,606 mg,1.7 mg,202 mg,227.0 mg,0.20 mg,1.6 mg,0.03 mg,6.6 mg,0.0 g,181 mcg,0 mcg,,0.35 mg,
444,GR071,"Ikan turi, segar",Ikan/Kerang/Udang dll,Mentah (Raw),76.9 g,96 Kal,19.2 g,2.0 g,0.2 g,2.1 g,340 mg,340 mg,0.8 mg,370 mg,300.0 mg,0.10 mg,2.0 mg,,,,26 mcg,,,,
445,HP004,"Ikan, telur, asin, mentah (Roe, (fish egg), fresh)",Telur,Olahan (Processed),37.8 g,358 Kal,20.7 g,26.4 g,9.4 g,5.7 g,48 mg,311 mg,15.1 mg,"2,684 mg",59.0 mg,0.40 mg,3.0 mg,0.54 mg,2.1 mg,0.0 g,"1,866 mcg",0 mcg,,0.21 mg,
446,GP039,"Ikan, tepung, mentah",Ikan/Kerang/Udang dll,Olahan (Processed),4.3 g,316 Kal,60.1 g,6.5 g,22.4 g,6.7 g,"3,196 mg","1,976 mg",16.6 mg,,,,,,,0.0 g,320 mcg,0 mcg,0 mcg,0.00 mg,0 mg
447,AP050,Intip goreng,Serealia,Olahan (Processed),6.5 g,474 Kal,7.6 g,21.6 g,62.3 g,2.0 g,36 mg,64 mg,2.5 mg,0 mg,38.0 mg,0.05 mg,0.5 mg,0.03 mg,0.8 mg,1.2 g,,0 mcg,200 mcg,0.25 mg,0 mg
448,FP006,"Itik alabio, daging, dendeng, mentah",Daging,Olahan (Processed),12.7 g,496 Kal,30.3 g,33.5 g,18.4 g,5.1 g,135 mg,370 mg,12.5 mg,"1,081 mg",478.0 mg,0.70 mg,0.3 mg,,,,,0 mcg,,,
449,AP051,Jagung gerontol,Serealia,Olahan (Processed),61.7 g,156 Kal,2.7 g,1.3 g,33.3 g,0.8 g,51 mg,105 mg,1.2 mg,,,,,0.00 mg,0.0 mg,1.0 g,0 mcg,,162 mcg,0.08 mg,0 mg
450,AR016,"Jagung kuning pipil, kering, mentah (Corn, yellow, raw)",Serealia,Mentah (Raw),11.5 g,366 Kal,9.8 g,7.3 g,69.1 g,2.4 g,30 mg,538 mg,2.3 mg,5 mg,79.4 mg,0.10 mg,4.1 mg,0.12 mg,1.8 mg,2.2 g,,636 mcg,641 mcg,0.12 mg,3 mg
451,AP012,"Jagung kuning pipil, rebus",Serealia,Olahan (Processed),63.7 g,154 Kal,3.8 g,3.5 g,28.4 g,0.6 g,7 mg,171 mg,0.5 mg,5 mg,56.4 mg,0.10 mg,4.4 mg,0.10 mg,1.7 mg,0.7 g,,818 mcg,234 mcg,0.08 mg,0 mg
452,AP011,"Jagung kuning, tepung",Serealia,Olahan (Processed),12.0 g,355 Kal,9.2 g,3.9 g,73.7 g,1.2 g,10 mg,256 mg,2.4 mg,11 mg,24.4 mg,0.23 mg,1.7 mg,0.02 mg,0.3 mg,7.2 g,,0 mcg,510 mcg,0.38 mg,
453,DR085,"Jagung muda / semi, segar (Baby corn, fresh)",Sayuran,Mentah (Raw),89.5 g,35 Kal,2.2 g,0.1 g,7.4 g,0.8 g,7 mg,100 mg,0.5 mg,353 mg,230.2 mg,0.10 mg,0.8 mg,0.16 mg,0.9 mg,1.9 g,0 mcg,23 mcg,200 mcg,0.08 mg,8 mg
